Module	Section	Sample Name	Source
FastQC	all_sections	sel3_SRR5819794.trim_1P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819794_trim_1P_fastqc.zip
FastQC	all_sections	sel3_SRR5819794.trim_1U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819794_trim_1U_fastqc.zip
FastQC	all_sections	sel3_SRR5819794.trim_2P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819794_trim_2P_fastqc.zip
FastQC	all_sections	sel3_SRR5819794.trim_2U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819794_trim_2U_fastqc.zip
FastQC	all_sections	sel3_SRR5819795.trim_1P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819795_trim_1P_fastqc.zip
FastQC	all_sections	sel3_SRR5819795.trim_1U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819795_trim_1U_fastqc.zip
FastQC	all_sections	sel3_SRR5819795.trim_2P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819795_trim_2P_fastqc.zip
FastQC	all_sections	sel3_SRR5819795.trim_2U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819795_trim_2U_fastqc.zip
FastQC	all_sections	sel3_SRR5819796.trim_1P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819796_trim_1P_fastqc.zip
FastQC	all_sections	sel3_SRR5819796.trim_1U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819796_trim_1U_fastqc.zip
FastQC	all_sections	sel3_SRR5819796.trim_2P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819796_trim_2P_fastqc.zip
FastQC	all_sections	sel3_SRR5819796.trim_2U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819796_trim_2U_fastqc.zip
FastQC	all_sections	sel3_SRR5819797.trim_1P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819797_trim_1P_fastqc.zip
FastQC	all_sections	sel3_SRR5819797.trim_1U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819797_trim_1U_fastqc.zip
FastQC	all_sections	sel3_SRR5819797.trim_2P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819797_trim_2P_fastqc.zip
FastQC	all_sections	sel3_SRR5819797.trim_2U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819797_trim_2U_fastqc.zip
FastQC	all_sections	sel3_SRR5819798.trim_1P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819798_trim_1P_fastqc.zip
FastQC	all_sections	sel3_SRR5819798.trim_1U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819798_trim_1U_fastqc.zip
FastQC	all_sections	sel3_SRR5819798.trim_2P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819798_trim_2P_fastqc.zip
FastQC	all_sections	sel3_SRR5819798.trim_2U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819798_trim_2U_fastqc.zip
FastQC	all_sections	sel3_SRR5819799.trim_1P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819799_trim_1P_fastqc.zip
FastQC	all_sections	sel3_SRR5819799.trim_1U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819799_trim_1U_fastqc.zip
FastQC	all_sections	sel3_SRR5819799.trim_2P.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819799_trim_2P_fastqc.zip
FastQC	all_sections	sel3_SRR5819799.trim_2U.fastq.gz	/domus/h1/mama5390/genome_analysis/genome_analysis/out_files/fastqc_wgs/sel3_SRR5819799_trim_2U_fastqc.zip
