##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819796.trim_1P.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1104993
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.725466134174606	31.0	31.0	34.0	30.0	34.0
2	31.891935967015176	33.0	31.0	34.0	30.0	34.0
3	31.953612375825006	34.0	31.0	34.0	30.0	34.0
4	35.50785661085636	37.0	35.0	37.0	33.0	37.0
5	35.53086671137283	37.0	35.0	37.0	33.0	37.0
6	35.56046780386844	37.0	35.0	37.0	33.0	37.0
7	35.54569847953788	37.0	35.0	37.0	33.0	37.0
8	35.55086140817182	37.0	35.0	37.0	33.0	37.0
9	37.16183722430821	39.0	37.0	39.0	33.0	39.0
10-11	37.16432185543257	39.0	37.0	39.0	33.0	39.0
12-13	37.1272053307125	39.0	37.0	39.0	33.0	39.0
14-15	38.41507729008238	40.0	38.0	41.0	33.0	41.0
16-17	38.37240145412686	40.0	38.0	41.0	33.0	41.0
18-19	38.359545716579206	40.0	38.0	41.0	33.0	41.0
20-21	38.29389914687242	40.0	38.0	41.0	33.0	41.0
22-23	38.1722449825474	40.0	38.0	41.0	33.0	41.0
24-25	38.17082325408396	40.0	38.0	41.0	33.0	41.0
26-27	38.08373808702861	40.0	37.5	41.0	33.0	41.0
28-29	38.00959960832331	40.0	37.0	41.0	32.5	41.0
30-31	37.879300592854435	40.0	37.0	41.0	32.0	41.0
32-33	37.775896317895224	40.0	37.0	41.0	32.0	41.0
34-35	37.64294886935936	40.0	37.0	41.0	32.0	41.0
36-37	37.579929334039306	40.0	37.0	41.0	32.0	41.0
38-39	37.50414340001112	40.0	36.5	41.0	31.0	41.0
40-41	37.395573107118636	39.0	36.0	41.0	31.0	41.0
42-43	37.46608506983933	39.0	36.0	41.0	31.0	41.0
44-45	37.470812479410256	39.0	36.0	41.0	31.5	41.0
46-47	37.59511646858118	40.0	36.5	41.0	32.0	41.0
48-49	37.55074818746613	40.0	36.0	41.0	32.0	41.0
50-51	36.68314785516046	38.5	35.0	40.0	31.0	40.5
52-53	36.86973107097975	38.5	35.5	40.0	31.0	40.5
54-55	37.424875604713975	39.0	36.0	41.0	32.0	41.0
56-57	37.40403070911309	39.0	35.5	41.0	32.0	41.0
58-59	37.26627966713675	39.0	35.0	41.0	31.0	41.0
60-61	37.07932598972499	39.0	35.0	41.0	31.0	41.0
62-63	36.86278013963569	38.5	35.0	40.5	31.0	41.0
64-65	36.676869474091255	38.0	35.0	40.0	31.0	41.0
66-67	36.541516361153526	38.0	35.0	40.0	31.0	41.0
68-69	36.39846785274149	37.5	35.0	40.0	31.0	41.0
70-71	36.159415022553816	37.0	34.0	40.0	30.5	41.0
72-73	35.92976827005974	36.5	34.0	40.0	30.0	41.0
74-75	35.68008439278124	36.0	34.0	39.0	30.0	41.0
76-77	35.35974241180182	36.0	34.0	39.0	30.0	41.0
78-79	35.03323186161016	35.0	34.0	39.0	29.0	40.5
80-81	34.97064351366878	35.0	34.0	38.5	29.0	40.0
82-83	34.801243664336354	35.0	34.0	38.0	29.0	40.0
84-85	34.590431355035705	35.0	33.5	37.0	29.0	40.0
86-87	34.37046035036779	35.0	33.0	37.0	29.0	39.5
88-89	34.19077780338135	35.0	33.0	36.5	29.0	39.0
90-91	34.023170511411664	35.0	33.0	36.0	29.0	39.0
92-93	33.86205310920643	35.0	33.0	36.0	29.0	39.0
94-95	33.74528753762937	35.0	33.0	35.5	29.0	38.0
96-97	33.631297797117085	35.0	33.0	35.0	29.0	37.5
98-99	33.57870687328437	35.0	33.0	35.0	29.0	37.0
100-101	32.99258789163774	34.5	32.0	35.0	27.5	36.5
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.29656810484592455
1101	2	0.39860825277843404
1101	3	0.39454882922129997
1101	4	0.3514590700636333
1101	5	0.4250041007179348
1101	6	0.4934427732111786
1101	7	0.5610769881392699
1101	8	0.6291125445995362
1101	9	0.669085378909763
1101	10-11	0.7159987415206075
1101	12-13	0.5221813387883287
1101	14-15	0.7390709047993695
1101	16-17	0.8159235601202468
1101	18-19	0.8207018734750022
1101	20-21	0.8867907011381675
1101	22-23	0.8172889814694244
1101	24-25	0.6469142716270397
1101	26-27	0.8139304356577739
1101	28-29	0.5346681480341431
1101	30-31	0.058576225372583224
1101	32-33	0.15261011175688566
1101	34-35	0.3731215434575006
1101	36-37	0.720748631990233
1101	38-39	0.7602119172381592
1101	40-41	0.9159762105937048
1101	42-43	0.7677328165307458
1101	44-45	0.6597623332434139
1101	46-47	0.7637828790453725
1101	48-49	0.7907954880187731
1101	50-51	0.7635809809737779
1101	52-53	0.7601747641145806
1101	54-55	0.7019687144354876
1101	56-57	0.5832412529158049
1101	58-59	0.5034505702718164
1101	60-61	0.6371767678257925
1101	62-63	0.6151467023461308
1101	64-65	0.7815853048232526
1101	66-67	0.4572024498301417
1101	68-69	0.5066048055260737
1101	70-71	0.38747631174137354
1101	72-73	0.0687464712935224
1101	74-75	-0.23397786385201158
1101	76-77	-0.15231912384497548
1101	78-79	0.2925233359503352
1101	80-81	0.3537869454831366
1101	82-83	0.47702406008428255
1101	84-85	0.24305191685626681
1101	86-87	0.08010274546320062
1101	88-89	-0.14826996088266498
1101	90-91	-0.08674650646902649
1101	92-93	-0.016296782007067634
1101	94-95	-0.013169052696476058
1101	96-97	-0.1049236806706233
1101	98-99	0.06364155232316904
1101	100-101	-0.08717633723012597
1102	1	0.3059011232939639
1102	2	0.26137371016446664
1102	3	0.29050724619604296
1102	4	0.25252510060145283
1102	5	0.3977067248629709
1102	6	0.41182654874641145
1102	7	0.4326140068416393
1102	8	0.3355800311790631
1102	9	0.230214946638867
1102	10-11	0.357200384676851
1102	12-13	0.44962421662797425
1102	14-15	0.5107820944299633
1102	16-17	0.6301408582227594
1102	18-19	0.536698519492461
1102	20-21	0.5198242500468169
1102	22-23	0.3020396581700382
1102	24-25	0.44125121857189953
1102	26-27	0.46053347808554435
1102	28-29	0.5951468455898521
1102	30-31	0.4810806648010697
1102	32-33	0.5144436865527382
1102	34-35	0.4280151901925322
1102	36-37	0.48171196414523365
1102	38-39	0.38200478002299576
1102	40-41	0.3917447597419965
1102	42-43	0.2077421741029255
1102	44-45	0.1845455002056937
1102	46-47	0.2984028936654326
1102	48-49	0.43091203243057663
1102	50-51	0.4835651869520845
1102	52-53	0.48195077394747443
1102	54-55	0.5023883681030057
1102	56-57	0.4087221332012305
1102	58-59	0.5358430631109456
1102	60-61	0.46737660576484075
1102	62-63	0.3368314695953032
1102	64-65	0.44308031428561634
1102	66-67	0.36526592209632014
1102	68-69	0.32545093518279344
1102	70-71	0.2796069511174082
1102	72-73	0.2009599813366023
1102	74-75	0.3786384999539294
1102	76-77	0.5524022171152438
1102	78-79	0.636977006841775
1102	80-81	0.46935764225755605
1102	82-83	0.4308716832124091
1102	84-85	0.43648677092394905
1102	86-87	0.4540062878146003
1102	88-89	0.3471679104756831
1102	90-91	0.3935844281817751
1102	92-93	0.2122076487747151
1102	94-95	0.20822321585305303
1102	96-97	0.268144610075403
1102	98-99	0.2048560511771811
1102	100-101	0.22173018891127327
1103	1	0.6244913723247834
1103	2	0.6682540899528853
1103	3	0.6886690833732558
1103	4	0.5624953680303193
1103	5	0.5040212001898681
1103	6	0.5764398610533945
1103	7	0.6269681036942529
1103	8	0.518944575498665
1103	9	0.6723391006568704
1103	10-11	0.6881928940401494
1103	12-13	0.6956181222722293
1103	14-15	0.8442796961120678
1103	16-17	0.775896164090426
1103	18-19	0.8433895800089246
1103	20-21	0.9364909167134883
1103	22-23	0.879350503166421
