##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819798.trim_1U.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	568979
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.8052898261623	33.0	31.0	34.0	30.0	34.0
2	31.989500491230782	34.0	31.0	34.0	30.0	34.0
3	32.05481748887041	34.0	31.0	34.0	30.0	34.0
4	35.59691130955624	37.0	35.0	37.0	33.0	37.0
5	35.60541601711135	37.0	35.0	37.0	33.0	37.0
6	35.53351353916401	37.0	35.0	37.0	33.0	37.0
7	35.50718392067194	37.0	35.0	37.0	33.0	37.0
8	35.49808868165609	37.0	35.0	37.0	33.0	37.0
9	37.05532893129623	39.0	37.0	39.0	33.0	39.0
10-11	37.03216023789982	39.0	37.0	39.0	33.0	39.0
12-13	36.99971527947429	39.0	37.0	39.0	33.0	39.0
14-15	38.224551345480236	40.0	38.0	41.0	33.0	41.0
16-17	38.20840136454948	40.0	38.0	41.0	33.0	41.0
18-19	38.220608317705924	40.0	38.0	41.0	33.0	41.0
20-21	38.160648284031566	40.0	37.5	41.0	33.0	41.0
22-23	38.03438351854814	40.0	37.0	41.0	32.5	41.0
24-25	37.98042370632308	40.0	37.0	41.0	32.0	41.0
26-27	37.89253294058304	40.0	37.0	41.0	32.0	41.0
28-29	37.81494747609314	40.0	37.0	41.0	32.0	41.0
30-31	37.705760669550195	40.0	37.0	41.0	32.0	41.0
32-33	37.57580859750536	40.0	37.0	41.0	31.0	41.0
34-35	37.46899797707824	40.0	36.5	41.0	31.0	41.0
36-37	37.48655466616949	40.0	37.0	41.0	31.0	41.0
38-39	37.4640086347719	40.0	36.0	41.0	31.0	41.0
40-41	37.39878528534042	40.0	36.0	41.0	31.0	41.0
42-43	37.34532427870326	39.0	36.0	41.0	31.0	41.0
44-45	37.338544809102004	39.0	36.0	41.0	31.0	41.0
46-47	37.43076229730068	39.5	36.0	41.0	31.0	41.0
48-49	37.38568516367292	39.0	36.0	41.0	31.0	41.0
50-51	36.97650214741564	38.5	35.5	40.5	30.5	41.0
52-53	36.994669363148915	39.0	35.0	40.0	31.0	41.0
54-55	37.21700402843507	39.0	35.0	41.0	31.0	41.0
56-57	37.1587604775025	39.0	35.0	41.0	31.0	41.0
58-59	37.01175216190624	39.0	35.0	41.0	31.0	41.0
60-61	36.84255718519498	39.0	35.0	40.5	31.0	41.0
62-63	36.63649946262636	38.0	35.0	40.0	30.5	41.0
64-65	36.48173833837805	38.0	35.0	40.0	30.0	41.0
66-67	36.27334434857556	37.5	34.5	40.0	30.0	41.0
68-69	36.048100620575205	37.0	34.0	40.0	30.0	41.0
70-71	35.797146998959406	36.5	34.0	39.5	30.0	41.0
72-73	35.54694725135549	36.0	34.0	39.0	30.0	41.0
74-75	35.29162923863115	36.0	34.0	39.0	30.0	41.0
76-77	34.27038689730483	35.0	32.5	38.0	28.5	40.0
78-79	34.75543441918717	35.0	33.5	38.0	29.0	40.0
80-81	34.684770116957665	35.0	34.0	37.0	29.0	40.0
82-83	34.47452725734219	35.0	33.5	37.0	29.0	40.0
84-85	34.306343958165954	35.0	33.0	36.5	29.0	39.0
86-87	34.17001318146314	35.0	33.0	36.0	29.0	39.0
88-89	34.024591637166154	35.0	33.0	36.0	29.0	39.0
90-91	33.858064549464714	35.0	33.0	35.5	29.0	38.0
92-93	33.69429302921442	35.0	33.0	35.0	29.0	37.5
94-95	33.56843202320015	35.0	33.0	35.0	29.0	37.0
96-97	33.486458343963676	35.0	33.0	35.0	29.0	37.0
98-99	33.43414464752962	35.0	33.0	35.0	29.0	36.0
100-101	32.918700538639186	34.5	32.0	35.0	27.5	35.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.3796546522936062
1101	2	0.43140833345898955
1101	3	0.23338464513036428
1101	4	0.2837063929701884
1101	5	0.3978516775009737
1101	6	0.2589555157825174
1101	7	0.11303098241511123
1101	8	0.06840420547094794
1101	9	-0.1770527968247393
1101	10-11	-0.09304240946153897
1101	12-13	-0.0971706952047171
1101	14-15	-0.04475338552177277
1101	16-17	0.3338940470588341
1101	18-19	0.5565137880632349
1101	20-21	0.5824846518598861
1101	22-23	0.33466461103632383
1101	24-25	0.32479778713254603
1101	26-27	-0.11396000391012961
1101	28-29	0.27673532504235254
1101	30-31	0.3604295317208468
1101	32-33	0.5314941965358173
1101	34-35	0.3641424762880803
1101	36-37	0.33608970142557126
1101	38-39	0.22726917854794948
1101	40-41	0.4272813998445457
1101	42-43	0.6864987462135446
1101	44-45	0.6183336717341916
1101	46-47	0.4447342018974112
1101	48-49	0.48937530938883356
1101	50-51	0.3859462820216777
1101	52-53	0.3825352039364418
1101	54-55	0.45738435978649505
1101	56-57	0.31983201825715923
1101	58-59	0.23692536589844337
1101	60-61	0.18084603417277378
1101	62-63	0.24299258394812995
1101	64-65	0.48345229775260634
1101	66-67	0.06813229066975879
1101	68-69	0.41362389298689806
1101	70-71	0.36668382806207234
1101	72-73	0.23373503013835517
1101	74-75	0.2885122387552457
1101	76-77	0.20261642174896366
1101	78-79	-0.0970183209287967
1101	80-81	-0.06708696327282127
1101	82-83	0.21455332371921543
1101	84-85	0.1753642939980935
1101	86-87	-0.014833027646965036
1101	88-89	-0.15951305982431307
1101	90-91	-0.004699375077692025
1101	92-93	-0.15016079793280568
1101	94-95	-0.38831857522297497
1101	96-97	-0.2663775353794833
1101	98-99	-0.1931769862544499
1101	100-101	0.23628690668977725
1102	1	0.46078772212232977
1102	2	0.2836612978858639
1102	3	0.3508901348097666
1102	4	0.38074635783623734
1102	5	0.28472914785670866
1102	6	0.3594122571088221
1102	7	0.38485355597681803
1102	8	0.3614389002447709
1102	9	0.09489274555558325
1102	10-11	0.3398737082371923
1102	12-13	0.4672737492397303
1102	14-15	0.48981402774129634
1102	16-17	0.4330069148673559
1102	18-19	0.3659692118664921
1102	20-21	0.5681851349516762
1102	22-23	0.44788815078160127
1102	24-25	0.1030147392625409
1102	26-27	0.15806458985358773
1102	28-29	0.3653694928069555
1102	30-31	0.6370478892087803
1102	32-33	0.4662372795397687
1102	34-35	0.6568258315801359
1102	36-37	0.5556461353298303
1102	38-39	0.6976370034409243
1102	40-41	0.421684628711823
1102	42-43	0.5404559927132908
1102	44-45	0.5303809089806322
1102	46-47	0.5404339588461013
1102	48-49	0.6004867551542716
1102	50-51	0.4869782889887233
1102	52-53	0.6556154234870419
1102	54-55	0.7305593601700693
1102	56-57	0.4168179540675965
1102	58-59	0.4780025572907931
1102	60-61	0.2751367698208327
1102	62-63	0.48312901489945403
1102	64-65	0.4912038661278615
1102	66-67	0.41847578775238503
1102	68-69	0.23820259011281308
1102	70-71	0.46925932139183857
1102	72-73	0.31707897887087455
1102	74-75	0.4156589716622463
1102	76-77	0.37389292587145206
1102	78-79	0.32272779624354087
1102	80-81	0.35568445796574366
1102	82-83	0.43981936447432446
1102	84-85	0.2860415410281121
1102	86-87	0.015057608753259899
1102	88-89	0.07873952061999034
1102	90-91	0.12173310469884058
1102	92-93	-0.15175315014534618
1102	94-95	-0.0038606903735498577
1102	96-97	0.04002930264682192
1102	98-99	-0.06686632316385044
1102	100-101	0.29928739387646175
1103	1	0.5622809149198709
1103	2	0.4441356061862649
1103	3	0.29419272593844426
1103	4	0.5303730596368581
1103	5	0.34371026335956145
1103	6	0.34966258648958615
1103	7	0.48858653797066864
1103	8	0.5348688519355917
1103	9	0.5799169001449584
1103	10-11	0.5448363784172514
1103	12-13	0.4652535472195254
1103	14-15	0.7892870185186283
1103	16-17	0.7678334409982241
1103	18-19	0.6258067173561699
1103	20-21	0.692888692263935
